source_text,translated_text,group_stack
"2:19 I know your works, your love, faith, service, patient endurance","2:19 Conozco tus obras, tu amor, fe, servicio y tu paciencia",Artboard_1 / Cards / Thyatira_card
"2:20 But I have this against you, that you tolerate Jezebel...",2:20 Pero tengo esto contra ti: que toleras a Jezabel...,Artboard_1 / Cards / Thyatira_card
"2:26 He who overcomes, and he who keeps my works to the end, to him I will give authority over the nations.","2:26 Al que venciere y guardare mis obras hasta el fin, yo le daré autoridad sobre las naciones.",Artboard_1 / Cards / Thyatira_card
"2:25 Nevertheless, hold that which you have firmly until I come.","2:25 Pero lo que tenéis, retenedlo firmemente hasta que yo venga.",Artboard_1 / Cards / Thyatira_card
tolerates idolatry,tolera la idolatría,Artboard_1 / Cards / Thyatira_card
Patmos,Patmos,Artboard_1 / Cities
Megiddo,Meguido,Artboard_1 / Cities
Jerusalem & Mt. Zion,Jerusalén y el Monte Sion,Artboard_1 / Cities
"I John, your brother and partnerwith you in the oppression, Kingdom, and perseverance in Christ Jesus, was on the isle that is called Patmos because of God’s Word and the testimony of Jesus Christ.Rev 1:9","Yo Juan, vuestro hermano y copartícipe vuestro en la tribulación, en el Reino y en la paciencia de Jesucristo, estaba en la isla llamada Patmos, por causa de la palabra de Dios y el testimonio de Jesucristo. Ap 1:9",Artboard_1 / Cities
Interpretation Frameworks,Marcos de interpretación,Artboard_1 / Frameworks
"Preterist. Events described here were largely fulfilled in the first century AD.Historicist. Events have and continue to unfold in history until Kingdom culmination.Futurist. Most events described here have yet to occur, especially Chapters 4-22.Idealist. Events are symbolic and allegorical about the ongoing conflict between good & evil.Composite. Integrates and interweaves multiple framework views together.","Preterista. Los eventos aquí descritos se cumplieron en su mayor parte en el primer siglo d. C. Historicista. Los eventos se han desarrollado y continúan desarrollándose en la historia hasta la culminación del Reino. Futurista. La mayoría de los eventos descritos aquí aún no han ocurrido, especialmente los capítulos 4-22. Idealista. Los eventos son simbólicos y alegóricos sobre el conflicto continuo entre el bien y el mal. Compuesto. Integra y entrelaza múltiples marcos de interpretación.",Artboard_1 / Frameworks
"1 Uniqueness, God 2 Emphasis, certainty 3 Trinity, unity, fellowship 4 Nature, creation 6 Incomplete, imperfect, man 7 Perfection, fullness, totality 10 Completion, power 12 Israel, the church 1,000 Fullness, complete144,000 (12 x 12) x (10 x 10 x 10)","1 Unicidad, Dios 2 Énfasis, certeza 3 Trinidad, unidad, comunión 4 Naturaleza, creación 6 Incompleto, imperfecto, hombre 7 Perfección, plenitud, totalidad 10 Consumación, poder 12 Israel, la iglesia 1,000 Plenitud, completo144,000 (12 x 12) x (10 x 10 x 10)",Artboard_1 / Numbers
Numbers in Revelation,Los números en Apocalipsis,Artboard_1 / Numbers
This calls for patient endurance...,Esto requiere paciente perseverancia...,Artboard_1 / Patience
"Revelation 1:9, 2:2, 2:3, 2:19, 3:10, 13:9-10, 14:12","Apocalipsis 1:9, 2:2, 2:3, 2:19, 3:10, 13:9-10, 14:12",Artboard_1 / Patience
see asterisks on Structure of Revelation graphic,ver asteriscos en el gráfico Estructura de Apocalipsis,Artboard_1 / Patience
Halley’s Bible Handbook (2000).,Manual Bíblico de Halley (2000).,Artboard_1 / Sources
"Larson, E., frameworks","Larson, E., marcos",Artboard_1 / Sources
TM,TM,Artboard_1 / Sources
(2012).,(2012).,Artboard_1 / Sources
openbible.info Bible Cross References (2001).,openbible.info Referencias Cruzadas de la Biblia (2001).,Artboard_1 / Sources
"Kayser, P., Revelation, Biblical Blueprints (2022).","Kayser, P., Apocalipsis, Biblical Blueprints (2022).",Artboard_1 / Sources
"Brooks, K., Revelation–the Future Foretold (1962).","Brooks, K., Apocalipsis: el futuro predicho (1962).",Artboard_1 / Sources
"Beale, G.K., Revelation: A shorter commentary (2015).","Beale, G.K., Apocalipsis: Un comentario breve (2015).",Artboard_1 / Sources
All scripture quotations from the World English Bible.,Todas las citas bíblicas son de la World English Bible.,Artboard_1 / Sources
The Revelation of Jesus Christ,La revelación de Jesucristo,Artboard_1 / Title_00000124124067982850036660000005594906026205735603_
a composite interpretation by Shawn Handran,una interpretación compuesta por Shawn Handran,Artboard_1 / Title_00000124124067982850036660000005594906026205735603_
The resonance chamber of the Bible,La cámara de resonancia de la Biblia,Artboard_1 / Title_00000124124067982850036660000005594906026205735603_
"Have I any pleasure in the death of the wicked? says the Lord GOD, and not rather that they should return from their way and live? Eze 18:23","¿Acaso me complazco yo en la muerte del impío? dice el Señor DIOS, ¿y no más bien en que se aparte de sus caminos y viva? Eze 18:23",Artboard_1 / Title_00000124124067982850036660000005594906026205735603_
232 cross-references,232 referencias cruzadas,g / _x37__bowls
All life insea dies,Muere toda vida en el mar,g / _x37__bowls
Water toblood,Agua en sangre,g / _x37__bowls
Darkness,Tinieblas,g / _x37__bowls
7 Bowls,7 Copas,g / _x37__bowls
Revelation 16:1-16,Apocalipsis 16:1-16,g / _x37__bowls
Sores,Úlceras,g / _x37__bowls
Fire from Sun,Fuego del sol,g / _x37__bowls
Euphratesdries,El Éufrates se seca,g / _x37__bowls
7 Churches,7 Iglesias,g / _x37__churches
Revelation 1-3,Apocalipsis 1-3,g / _x37__churches
see 7 Churches of Revelation graphic,ver el gráfico de las 7 Iglesias de Apocalipsis,g / _x37__churches
1307 cross-references,1307 referencias cruzadas,g / _x37__churches
Sentiment: Favorable Unfavorable Mixed,Sentimiento: Favorable Desfavorable Mixto,g / _x37__churches
Ephesus,Éfeso,g / _x37__churches / g
Smyrna,Esmirna,g / _x37__churches / g
Pergamos,Pérgamo,g / _x37__churches / g
Thyatira,Tiatira,g / _x37__churches / g
Sardis,Sardis,g / _x37__churches / g
Philadelphia,Filadelfia,g / _x37__churches / g
Laodicea,Laodicea,g / _x37__churches / g
7 Seals,7 Sellos,g / _x37__seals
443 cross-references,443 referencias cruzadas,g / _x37__seals
Revelation 5-6,Apocalipsis 5-6,g / _x37__seals
Conquer,Conquista,g / _x37__seals
Famine,Hambre,g / _x37__seals
Death,Muerte,g / _x37__seals
War,Guerra,g / _x37__seals
Martyrs,Mártires,g / _x37__seals
Apocalypse,Apocalipsis,g / _x37__seals
1st Woe,1er Ay,g / _x37__trumpets
7 Trumpets,7 Trompetas,g / _x37__trumpets
322 cross-references,322 referencias cruzadas,g / _x37__trumpets
"Sun, moon,stars struck","Sol, luna y estrellas heridos",g / _x37__trumpets
Revelation 8.6 - 9.21,Apocalipsis 8.6 - 9.21,g / _x37__trumpets
"Hail, fire,blood","Granizo, fuego y sangre",g / _x37__trumpets
1/3 of sea afflicted,1/3 del mar afectado,g / _x37__trumpets
Worm-wood,Ajenjo,g / _x37__trumpets
Woewoewoe!,"¡Ay, ay, ay!",g / _x37__trumpets
Locusts,Langostas,g / _x37__trumpets
4 angels3 plagues,4 ángeles 3 plagas,g / _x37__trumpets
Rejoicingin Heaven,Regocijo en el Cielo,g / _x37__victories_and_condemnations
The White Rider,El jinete blanco,g / _x37__victories_and_condemnations
7 Victories,7 Victorias,g / _x37__victories_and_condemnations
Defeat of Satan,Derrota de Satanás,g / _x37__victories_and_condemnations
Revelation 20:7-10,Apocalipsis 20:7-10,g / _x37__victories_and_condemnations
243 cross-references,243 referencias cruzadas,g / _x37__victories_and_condemnations
313 cross-references,313 referencias cruzadas,g / _x37__victories_and_condemnations
70 cross-references,70 referencias cruzadas,g / _x37__victories_and_condemnations
126 cross-references,126 referencias cruzadas,g / _x37__victories_and_condemnations
152 cross-references,152 referencias cruzadas,g / _x37__victories_and_condemnations
7 Condemnations,7 Condenaciones,g / _x37__victories_and_condemnations
105 cross-references,105 referencias cruzadas,g / _x37__victories_and_condemnations
49 cross-references,49 referencias cruzadas,g / _x37__victories_and_condemnations
"Woe, woe, O great city! (3x)","¡Ay, ay, oh gran ciudad! (3x)",g / _x37__victories_and_condemnations
(10x10x10),(10x10x10),g / _x37__victories_and_condemnations
Prostitute& Beast,Ramera y Bestia,g / _x37__victories_and_condemnations
Fall of Babylon,Caída de Babilonia,g / _x37__victories_and_condemnations
Marriage ofthe Lamb,Bodas del Cordero,g / _x37__victories_and_condemnations
1000 years,1000 años,g / _x37__victories_and_condemnations
Interlude:,Interludio:,g / _x37__victories_and_condemnations / g / g
Revelation 15,Apocalipsis 15,g / _x37__visions
Woman& dragon,Mujer y dragón,g / _x37__visions
Harvest ofthe Earth,Cosecha de la Tierra,g / _x37__visions
91 cross-references,91 referencias cruzadas,g / _x37__visions
222 cross-references,222 referencias cruzadas,g / _x37__visions
300 cross-references,300 referencias cruzadas,g / _x37__visions
113 cross-references,113 referencias cruzadas,g / _x37__visions
192 cross-references,192 referencias cruzadas,g / _x37__visions
59 cross-references,59 referencias cruzadas,g / _x37__visions
146 cross-references,146 referencias cruzadas,g / _x37__visions
(see 7 bowls),(ver 7 copas),g / _x37__visions
Twobeasts,Dos bestias,g / _x37__visions
7 Visions,7 Visiones,g / _x37__visions
Threeangels,Tres ángeles,g / _x37__visions
Seven plagues,Siete plagas,g / _x37__visions
"Song of144,000","Cántico de los 144,000",g / _x37__visions
Satan fallsto Earth,Satanás cae a la Tierra,g / _x37__visions
Interlude:,Interludio:,g / _x37__visions / g / g
Seven Churches,Siete Iglesias,g / chiasm
C,C,g / chiasm
2,2,g / chiasm
7:,7:,g / chiasm
Seven Seals,Siete Sellos,g / chiasm
D,D,g / chiasm
3,3,g / chiasm
Chiasm,Quiasmo,g / chiasm
7:,7:,g / chiasm
Seven Trumpets,Siete trompetas,g / chiasm
A’,A’,g / chiasm
Epilogue,Epílogo,g / chiasm
B’,B’,g / chiasm
7,7,g / chiasm
A,A,g / chiasm
7:,7:,g / chiasm
Seven Victories,Siete victorias,g / chiasm
C’,C’,g / chiasm
6,6,g / chiasm
7:,7:,g / chiasm
Seven Condemnations,Siete condenaciones,g / chiasm
D’,D’,g / chiasm
5,5,g / chiasm
7:,7:,g / chiasm
Seven Bowls,Siete copas,g / chiasm
E,E,g / chiasm
4,4,g / chiasm
7:,7:,g / chiasm
Seven Visions,Siete visiones,g / chiasm
Prologue,Prólogo,g / chiasm
"from Kayser, Biblical Blueprints (2022)","de Kayser, Biblical Blueprints (2022)",g / chiasm
A’,A’,g / chiasm
B’,B’,g / chiasm
C’,C’,g / chiasm
D’,D’,g / chiasm
E,E,g / chiasm
D,D,g / chiasm
C,C,g / chiasm
C,C,g / chiasm
A-B,A-B,g / chiasm
B,B,g / chiasm
1,1,g / chiasm
7:,7:,g / chiasm
New Heaven New Earth,Nuevo cielo y nueva tierra,g / future_glory
"There were lightnings, sounds, thunders; there was a great earthquake... Rev 16:18","Hubo relámpagos, voces, truenos; hubo un gran terremoto... Ap 16:18",g / future_glory
Revelation 21-22,Apocalipsis 21-22,g / future_glory
76 cross-references,76 referencias cruzadas,g / future_glory
Revelation 8:1-5,Apocalipsis 8:1-5,g / future_glory
Revelation 11:15-19,Apocalipsis 11:15-19,g / future_glory
153 cross-references,153 referencias cruzadas,g / future_glory
Revelation 16:17-21,Apocalipsis 16:17-21,g / future_glory
49 cross-references,49 referencias cruzadas,g / future_glory
Future Glory,Gloria futura,g / future_glory
709 cross-references,709 referencias cruzadas,g / future_glory
The Last Trumpet of 1 Cor 15:52,La última trompeta de 1 Co 15:52,g / future_glory
"Out of the throne proceed lightnings, sounds,and thunders. Rev 4:5 cf. Is 6:1-4","Del trono salen relámpagos, voces y truenos. Ap 4:5 cf. Is 6:1-4",g / future_glory
Revelation 4The Throne,Apocalipsis 4 El Trono,g / future_glory
Silence,Silencio,g / future_glory
"Thunders, sounds, lightnings, andan earthquake followed. Rev 8:5cf. Is 29:6","Siguieron truenos, voces, relámpagos y un terremoto. Ap 8:5cf. Is 29:6",g / future_glory
Glory,Gloria,g / future_glory
"Lightnings, sounds, thunders, an earth-quake, and great hail followed. Rev 11:19cf. Ex 20:18","Siguieron relámpagos, voces, truenos, un terremoto y grande granizo. Ap 11:19cf. Éx 20:18",g / future_glory
3rd Woe ends,Termina el 3er Ay,g / future_glory
It is done!,¡Hecho está!,g / future_glory
"“Behold, I come like a thief. Blessed is hewho watches, and keeps his clothes, so that he doesn’t walk naked, and they see his shame.” He gathered them together into the place which is called in Hebrew,“Harmagedon.”","«He aquí, yo vengo como ladrón. Bienaventurado el que vela, y guarda sus ropas, para que no ande desnudo, y vean su vergüenza». Y los reunió en el lugar que en hebreo se llama, «Armagedón».",g / interlude
no interlude,sin interludio,g / interlude
311 cross-references,311 referencias cruzadas,g / interlude
Final Judgment,Juicio Final,g / interlude
Revelation 20:11-15,Apocalipsis 20:11-15,g / interlude
"If anyone was not found written in the book oflife, he was cast into the lake of fire. Rev 20:15",Y el que no se halló inscrito en el libro de la vida fue lanzado al lago de fuego. Ap 20:15,g / interlude
373 cross-references,373 referencias cruzadas,g / interlude
33 cross-references,33 referencias cruzadas,g / interlude
"Five angels144,000Great multitude","Cinco ángeles144,000Gran multitud",g / interlude
87 cross-references,87 referencias cruzadas,g / interlude
Revelation 16:15-16,Apocalipsis 16:15-16,g / interlude
Revelation 7,Apocalipsis 7,g / interlude
"I looked and behold, a great multitude which noman could count, out of every nation and of alltribes and languages, standing before the throneand before the Lamb, dressed in white robes,with palm branches in their hands. Rev 7:9","Miré, y he aquí una gran multitud, la cual nadie podía contar, de todas las naciones y tribus y lenguas, que estaban delante del trono y en la presencia del Cordero, vestidos de ropas blancas, y con palmas en las manos. Ap 7:9",g / interlude
Angel & little scroll Two witnesses,El ángel y el librito Los dos testigos,g / interlude
2nd Woe ends,Termina el 2do Ay,g / interlude
Revelation 10 – 11:14,Apocalipsis 10 – 11:14,g / interlude
Interludes,Interludios,g / interlude / g / g
Revelation 4,Apocalipsis 4,g / throne_room
"After these things I looked and saw a door opened in heaven; and the first voice that I heard, like a trumpet speaking with me, was one saying, “Come up here, and I will show you the things which must happen after this. Rev 4:1","Después de esto miré, y he aquí una puerta abierta en el cielo; y la primera voz que oí, como de trompeta, hablando conmigo, dijo: «Sube acá, y yo te mostraré las cosas que sucederán después de estas». Ap 4:1",g / throne_room
219 cross-references,219 referencias cruzadas,g / throne_room
Vision of the Throne Room,Visión de la sala del trono,g / throne_room
Interlude:,Interludio:,g / throne_room / g / g
