element_id,element_number,batch_number,text,final,final_model,is_unresolved
fb49158b9536,11,4,You will need a **Bible** and a **pencil** or **highlighter**.,你需要一本**聖經**和一支**鉛筆**或**螢光筆**。,gemini-3.1-pro-preview,False
5291a05553d1,12,5,"It is not necessary to buy a study version of the Bible for this course, but you may find it beneficial in the long term to start this course using a study Bible. If English is your native language, choose a modern Bible translation——NIV, NRSV, NASB, ESV and NKJV are all excellent choices——but avoid paraphrase versions for this study. (Paraphrase versions are excellent for getting a different perspective on a word in the original Greek or Hebrew text, but this type of study should be saved for later in your journey.)",本課程不一定要購買研讀版聖經，但從長遠來看，使用研讀本聖經來開始本課程對你可能會大有裨益。如果英文是你的母語，請選擇現代的聖經譯本——NIV、NRSV、NASB、ESV和NKJV都是極佳的選擇——但在本課程的研讀中，請避免使用意譯本。（意譯本對於從不同角度理解希臘文或希伯來文原文中的詞彙極為有用，但這類型的研讀應該留待你未來進深時再進行。）,gemini-3.1-pro-preview,False
3ae6137cb043,13,5,The Importance of Daily Reading,每日閱讀的重要性,gemini-3.1-pro-preview,False
3366407725e9,14,5,Carve out time **each day** to complete the readings.,請撥出時間，**每天**完成閱讀進度。,gemini-3.1-pro-preview,False
b2f72534fd2a,15,6,"This course requires about **20-40** minutes of focused, **uninterrupted daily reading**. Every day before you begin reading, pray to God asking that the Holy Spirit would give you insight and understanding into what you are about to read.",本課程需要大約 **20-40** 分鐘專注、**不受打擾的每日閱讀**。每天在開始閱讀前，請向上帝禱告，求聖靈賜你洞察力與悟性，以明白你即將閱讀的內容。,gemini-3.1-pro-preview,False
97f17b1381a8,16,6,"Read the Bible selection **as quickly as you can** without skimming or speed reading (if you have a study Bible, **do not stop** to read the commentary notes, or do so only sparingly). If you notice a verse of interest, highlight it or underline it with a pencil, but do not stop to contemplate at this point in time yet (instructions will be given at the end of the course on how to read the Bible contemplatively and how to effectively use study Bibles and other commentaries).",請在不略讀或速讀的情況下，**盡可能快地**閱讀所選的聖經經文（如果你使用的是研讀本聖經，**請勿停下來**閱讀註釋，或者盡量少讀）。如果你注意到感興趣的經文，可以使用螢光筆標記或用鉛筆畫線，但此時還不要停下來默想（課程結束時將會提供指引，教導如何默想式地閱讀聖經，以及如何有效地使用研讀本聖經與其他註釋書）。,gemini-3.1-pro-preview,False
3948ff790027,17,7,It is important to **read every day**——missing a day or two will make it more difficult to remember where you left off and will also make it harder for you to develop a “big picture” view of the Bible.,重要的是要**每天閱讀**——漏掉一兩天會讓你更難記住上次讀到哪裡，也會讓你更難建立對聖經的「全貌」觀。,gemini-3.1-pro-preview,False
63ccfcdcd12e,18,7,The Bible at a Glance,聖經概覽,gemini-3.1-pro-preview,False
44b22fddd655,19,7,The Bible consists of the **Hebrew** and **Greek** Scriptures.,聖經由**希伯來**經典和**希臘**經典所組成。,claude-sonnet-4-6,False
f61e7943bb8a,20,8,"The **Hebrew** Scriptures contain **39 books** written by many different authors over a one thousand year period, between approximately 1400-400 BC. Except for a few sections, it is written entirely in Hebrew. A more detailed description of the Hebrew Scriptures is included later in this study, but for the purposes of this introduction, it is sufficient to summarize that the Hebrew Scriptures as a whole tell of a special and unique task that the Creator God gave to the descendants of a man named Abraham——the **Israelites**. The purpose of this task was that the Israelites were “commissioned” to tell all the other people of the world about the **Creator God**. The Hebrew Scriptures contain many references of the coming of a Messiah (which is the Hebrew word for savior or rescuer).",**希伯來**聖經包含**39卷書**，由許多不同的作者在約公元前1400至400年間，歷經一千年的時間寫成。除了少數段落外，它完全是用希伯來文寫成的。本研究稍後將對希伯來聖經作更詳細的說明，但就本簡介的目的而言，只需總結：希伯來聖經整體講述了創造主上帝交託給一個名叫亞伯拉罕的後裔——**以色列人**——一項特別且獨特的任務。這項任務的目的是以色列人受「委託」，要向世界上所有其他人傳揚這位**創造主上帝**。希伯來聖經包含許多關於彌賽亞（希伯來文的意思是救主或拯救者）降臨的記載。,gemini-3.1-pro-preview,False
538cd647d4cd,21,9,*Image: Old Testament Structure and Timeline*,*圖片：舊約結構與時間線*,gemini-3.1-pro-preview,False
602232049dbe,22,9,"The **Greek** Scriptures contain **27 books**, also written by several different authors over a period of approximately 50 years, around 40-90 AD. The Greek Scriptures show how the Creator God entered into history by becoming a human, fulfilling what was written in the Hebrew Scriptures about the coming **Messiah** (Savior). The Messiah is a descendant of Abraham named Yeshua (Joshua), or as translated in English: Jesus. The Greek word for Messiah is Christos, from which the title **Christ** is derived. Today, we put the name and title together: Jesus (the) Christ.",**希臘文**聖經包含**27卷書**，同樣由幾位不同的作者在約50年的期間內寫成，大約在公元40-90年。希臘文聖經展示了造物主上帝如何藉著成為人類進入歷史，成就了希伯來文聖經中關於那位將要來的**彌賽亞**（救主）的記載。彌賽亞是亞伯拉罕的後裔，名叫耶書亞（約書亞），或按英文翻譯為：耶穌。彌賽亞的希臘文是 Christos，**基督**這個稱呼即源自於此。今天，我們將名字和稱呼放在一起：耶穌基督。,gemini-3.1-pro-preview,False
386b209ebaa9,23,9,Image: New Testament Structure and Timeline,圖片：新約結構與時間線,gemini-3.1-pro-preview,False
32f4b1db27a0,24,9,Navigating the Bible: Chapters and Verses,聖經導覽：章與節,gemini-3.1-pro-preview,False
f19308307b64,25,10,The Bible is **numbered** so that it is easy to navigate and find a particular passage.,聖經有**編號**，以便於查閱並找到特定的經文。,gemini-3.1-pro-preview,False
a1347720f899,26,11,"Most of the books are divided into **chapters** (a few of the smallest books have a single un-numbered chapter), and each chapter in turn is divided into **verses**. A verse is typically one or two sentences. Even those that are unfamiliar with the Bible have probably heard someone quote or refer to **John 3:16**. This means the book of **John, chapter 3, verse 16**. When looking up books in the Bible, refer to the table of contents. In this example, the book of John, or the Gospel of John as it is known by its longer title, is located toward the back of the Bible. Once you locate John, flip through a couple of pages until you reach chapter 3. In most Bibles, the font size of the chapter number is much larger than the rest of the text whereas the verse number is a small superscript number embedded within the text itself. **See examples:**",大多數的書卷被劃分為多個**章**（少數篇幅最短的書卷只有一章且不標示章號），而每一章又被劃分為多個**節**。一節通常包含一兩個句子。即使是不熟悉聖經的人，可能也聽過有人引用或提及**約翰福音3:16**。這指的是**約翰福音，第3章，第16節**。在聖經中查找書卷時，請參考目錄。在這個例子中，約翰這卷書（或者按其較長的書名被稱為《約翰福音》），位於聖經較後面的部分。找到《約翰福音》後，往後翻幾頁，直到翻到第3章。在大多數的聖經中，章號的字體會比其他內文大得多，而節號則是嵌入在內文中的小型上標數字。**請看範例：**,gemini-3.1-pro-preview,False
351e14930ad4,27,12,**Genesis 1:1** 11In the beginning God created the heavens and the earth.,**創世記 1:1** 11起初，神創造天地。,gemini-3.1-pro-preview,False
50a608977a0a,28,12,"**John 3:16** 16For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.",**約翰福音 3:16** 16神愛世人，甚至將他的獨生子賜給他們，叫一切信他的，不致滅亡，反得永生。,gemini-3.1-pro-preview,False
93fb683c746a,29,12,"Generally, you’ll understand the Bible best in your first language, so feel free to use that translation if it is available in your native tongue. If you are bilingual, use the language with which you are most comfortable",一般來說，使用您的第一語言能讓您最透徹地理解聖經，因此如果您的母語有相應的譯本，請隨意使用。如果您精通雙語，請使用您最習慣的語言。,gemini-3.1-pro-preview,False
